company,product,sales2,z_sales2,currentprice,z_currentprice,numberofstars2,averagerating2,numberofreviews2,z_numberofreviews2,freeshipping2,foreign,bestseller2,etsysince2,dayssincelastreview,z_dayssincelastreview,daysuntilship,z_daysuntilship,betabestseller2
13point1CandleCo,Apples and Spice 9 oz Soy Candle,316,-.3767099411556371,18,-.0080461036212899,5,5,47,-.3872844379995091,0,0,0,2016,57,.0120129958017187,4,-.0152833837632114,1631.196225450273
13point1CandleCo,Arabian Nights 5 oz tin,316,-.3767099411556371,8,-.460590646410845,5,5,47,-.3872844379995091,0,0,0,2016,57,.0120129958017187,4,-.0152833837632114,1631.196225450273
13point1CandleCo,Arabian Nights 9 oz Soy Candle,316,-.3767099411556371,18,-.0080461036212899,5,5,47,-.3872844379995091,0,0,0,2016,57,.0120129958017187,4,-.0152833837632114,1631.196225450273
13point1CandleCo,Blooming Oranges 5 oz tin,316,-.3767099411556371,8,-.460590646410845,5,5,47,-.3872844379995091,0,0,0,2016,57,.0120129958017187,4,-.0152833837632114,1631.196225450273
13point1CandleCo,Blooming Oranges 9 oz Soy Candle,316,-.3767099411556371,18,-.0080461036212899,5,5,47,-.3872844379995091,0,0,0,2016,57,.0120129958017187,4,-.0152833837632114,1631.196225450273
13point1CandleCo,Camp Fire 5 oz tin,316,-.3767099411556371,8,-.460590646410845,5,5,47,-.3872844379995091,0,0,0,2016,57,.0120129958017187,4,-.0152833837632114,1631.196225450273
13point1CandleCo,Camp Fire 9 oz Soy Candle,316,-.3767099411556371,18,-.0080461036212899,5,5,47,-.3872844379995091,0,0,0,2016,57,.0120129958017187,4,-.0152833837632114,1631.196225450273
13point1CandleCo,Citrus Fusion 5 oz tin,316,-.3767099411556371,8,-.460590646410845,5,5,47,-.3872844379995091,0,0,0,2016,57,.0120129958017187,4,-.0152833837632114,1631.196225450273
13point1CandleCo,Citrus Fusion 9 oz Soy Candle,316,-.3767099411556371,18,-.0080461036212899,5,5,47,-.3872844379995091,0,0,0,2016,57,.0120129958017187,4,-.0152833837632114,1631.196225450273
13point1CandleCo,Florida Oranges 5 oz tin,316,-.3767099411556371,8,-.460590646410845,5,5,47,-.3872844379995091,0,0,0,2016,57,.0120129958017187,4,-.0152833837632114,1631.196225450273
13point1CandleCo,Florida Oranges 9 oz Soy Candle,316,-.3767099411556371,18,-.0080461036212899,5,5,47,-.3872844379995091,0,0,0,2016,34,-.2796053869343883,4,-.0152833837632114,1631.196225450273
13point1CandleCo,Fresh Mint 5 oz tin,316,-.3767099411556371,8,-.460590646410845,5,5,47,-.3872844379995091,0,0,0,2016,57,.0120129958017187,4,-.0152833837632114,1631.196225450273
13point1CandleCo,Fresh Mint 9 oz Soy Candle,316,-.3767099411556371,18,-.0080461036212899,5,5,47,-.3872844379995091,0,0,0,2016,57,.0120129958017187,4,-.0152833837632114,1631.196225450273
13point1CandleCo,Lavender 5 oz tin,316,-.3767099411556371,8,-.460590646410845,5,5,47,-.3872844379995091,0,0,0,2016,57,.0120129958017187,4,-.0152833837632114,1631.196225450273
13point1CandleCo,Lavender 9 oz Soy Candle,316,-.3767099411556371,18,-.0080461036212899,5,5,47,-.3872844379995091,0,0,0,2016,57,.0120129958017187,4,-.0152833837632114,1631.196225450273
13point1CandleCo,Orchids by the Sea 5 oz tin,316,-.3767099411556371,8,-.460590646410845,5,5,47,-.3872844379995091,0,0,0,2016,57,.0120129958017187,4,-.0152833837632114,1631.196225450273
13point1CandleCo,Orchids by the Sea 9 oz Soy Candle,316,-.3767099411556371,18,-.0080461036212899,5,5,47,-.3872844379995091,0,0,0,2016,57,.0120129958017187,4,-.0152833837632114,1631.196225450273
13point1CandleCo,Pine and Cranberries 9 oz Soy Candle,316,-.3767099411556371,18,-.0080461036212899,5,5,47,-.3872844379995091,0,0,0,2016,57,.0120129958017187,4,-.0152833837632114,1631.196225450273
13point1CandleCo,Pumpkin Pie 9 oz Soy Candle,316,-.3767099411556371,18,-.0080461036212899,5,5,47,-.3872844379995091,0,0,0,2016,251,2.471750658880187,4,-.0152833837632114,1631.196225450273
13point1CandleCo,Stormy Seas 9 oz Soy Candle,316,-.3767099411556371,18,-.0080461036212899,5,5,47,-.3872844379995091,0,0,0,2016,57,.0120129958017187,4,-.0152833837632114,1631.196225450273
13point1CandleCo,Vanilla 5 oz tin,316,-.3767099411556371,8,-.460590646410845,5,5,47,-.3872844379995091,0,0,0,2016,57,.0120129958017187,4,-.0152833837632114,1631.196225450273
13point1CandleCo,Winter Wonderland 5 oz tin,316,-.3767099411556371,8,-.460590646410845,5,5,47,-.3872844379995091,0,0,0,2016,57,.0120129958017187,4,-.0152833837632114,1631.196225450273
13point1CandleCo,Winter Wonderland 9 oz Soy Candle,316,-.3767099411556371,18,-.0080461036212899,5,5,47,-.3872844379995091,0,0,0,2016,57,.0120129958017187,4,-.0152833837632114,1631.196225450273
1776CandleCo,Aromatherapy - Lavender Scented Candle - Stress Relief - Anxiety Relief - Stress Relief Gift - Relaxation,522,-.3636621057423168,15.95,-.1008177435247509,5,4.9817,109,-.3659467384763618,1,0,0,2020,3,-.6726562506221848,2,-.5105964876591128,1631.196225450273
1776CandleCo,"Birthday Gift For Mom, Soy Candle, Gift For Mom, First Mother's Day Gift, Mother's Day Gift From Daughter,",522,-.3636621057423168,15.95,-.1008177435247509,5,4.9817,109,-.3659467384763618,1,0,1,2020,17,-.4951494089567283,4,-.0152833837632114,1631.196225450273
1776CandleCo,Born to be queen - Gift for her - Candle Gift - Best friend gift - Gift for girlfriend - Anniversary Gift - Gift for wife,522,-.3636621057423168,15.95,-.1008177435247509,5,4.9817,109,-.3659467384763618,1,0,0,2020,6,-.6346190702653013,4,-.0152833837632114,1631.196225450273
1776CandleCo,"Bulk Candle Bundle 16 oz, Soy Candles Handmade, Mason Jar Candles, Housewarming Gift, Farmhouse Candles",522,-.3636621057423168,44.950001,1.21156147372297,5,4.9817,109,-.3659467384763618,0,0,0,2020,19,-.469791288718806,2,-.5105964876591128,1631.196225450273
1776CandleCo,"Bulk Candle Bundle 16 oz, Soy Wax Melt Bundle, Mason Jar Candles, Housewarming Gift, Farmhouse Candles",522,-.3636621057423168,39.950001,.9852892023281921,5,4.9817,109,-.3659467384763618,0,0,0,2020,11,-.5712237696704954,2,-.5105964876591128,1631.196225450273
1776CandleCo,"Bulk Candle Bundle 8 oz, Soy Candles Handmade, Mason Jar Candles, Housewarming Gift, Farmhouse Candles",522,-.3636621057423168,35.950001,.80427138521237,5,4.9817,109,-.3659467384763618,0,0,0,2020,29,-.3430006875291942,2,-.5105964876591128,1631.196225450273
1776CandleCo,"Bulk Candle Bundle 8 oz, Soy Wax Melts Bundle, Mason Jar Candles, Housewarming Gift, Farmhouse Candles, Mix and match",522,-.3636621057423168,35,.7612796191209537,5,4.9817,109,-.3659467384763618,0,0,0,2020,29,-.3430006875291942,2,-.5105964876591128,1631.196225450273
1776CandleCo,"Bulk Candle Bundle Mix and Match, Soy Candles Handmade, Mason Jar Candles, Housewarming Gift, Farmhouse Candles",522,-.3636621057423168,41.950001,1.075798110886103,5,4.9817,109,-.3659467384763618,0,0,0,2020,26,-.3810378678860777,2,-.5105964876591128,1631.196225450273
1776CandleCo,"Bulk Candle Bundle Mix and Match, Soy Candles Handmade, Mason Jar Candles, Housewarming Gift, Farmhouse Candles",522,-.3636621057423168,38.950001,.9400347480492365,5,4.9817,109,-.3659467384763618,0,0,0,2020,6,-.6346190702653013,2,-.5105964876591128,1631.196225450273
1776CandleCo,"Bulk Candle Bundle Mix and Match, Soy Wax Melts Bundle, Mason Jar Candles, Housewarming Gift, Farmhouse Candles",522,-.3636621057423168,36.950001,.8495258394913255,5,4.9817,109,-.3659467384763618,0,0,0,2020,6,-.6346190702653013,2,-.5105964876591128,1631.196225450273
1776CandleCo,Co-worker Gift - Best friend Gift - Funny Candle Gift Idea - Gift for boss,522,-.3636621057423168,15.95,-.1008177435247509,5,4.9817,109,-.3659467384763618,1,0,0,2020,6,-.6346190702653013,4,-.0152833837632114,1631.196225450273
1776CandleCo,Fourth of July Candle - Patriotic Candle - Memorial Day - Independence Day - Soy Candle - 4th of July Decor,522,-.3636621057423168,15.95,-.1008177435247509,5,4.9817,109,-.3659467384763618,1,0,0,2020,17,-.4951494089567283,4,-.0152833837632114,1631.196225450273
1776CandleCo,Fourth of July Gift - Patriotic Candle - Memorial Day - Independence Day - Soy Candle - 4th of July Decor,522,-.3636621057423168,15.95,-.1008177435247509,5,4.9817,109,-.3659467384763618,1,0,0,2020,4,-.6599771905032236,4,-.0152833837632114,1631.196225450273
1776CandleCo,Lavender Farmhouse Candles - Soy Candles Handmade - Farmhouse Decor - Farmhouse Bathroom Decor - Farmhouse Table Decor - Scented Soy Candles,522,-.3636621057423168,15.95,-.1008177435247509,5,4.9817,109,-.3659467384763618,1,0,0,2020,6,-.6346190702653013,4,-.0152833837632114,1631.196225450273
1776CandleCo,Nice Buns Bathroom Decor - Bathroom Decor - Candle Gift - Best friend gift - Funny Gift - Farmhouse Bathroom Decor,522,-.3636621057423168,15.95,-.1008177435247509,5,4.9817,109,-.3659467384763618,1,0,0,2020,6,-.6346190702653013,4,-.0152833837632114,1631.196225450273
1776CandleCo,Personalized Candle -Personalized Gift - Personalized Decor - Personalized Gift For Her - Personalized Gift for Him,522,-.3636621057423168,15.95,-.1008177435247509,5,4.9817,109,-.3659467384763618,1,0,0,2020,14,-.5331865893136119,4,-.0152833837632114,1631.196225450273
1776CandleCo,"Soy Candles Handmade - Southern Breeze, Soy Candles, Mason Jar Candles, Farmhouse Candle, Mother's Day Gift",522,-.3636621057423168,15.95,-.1008177435247509,5,4.9817,109,-.3659467384763618,1,0,0,2020,88,.4050638594895152,4,-.0152833837632114,1631.196225450273
1776CandleCo,Thank you gift - Gift for her - Candle Gift - Best friend gift - Gift for girlfriend - Co-Worker Gift - Appreciation Gift,522,-.3636621057423168,15.95,-.1008177435247509,5,4.9817,109,-.3659467384763618,1,0,0,2020,6,-.6346190702653013,4,-.0152833837632114,1631.196225450273
1776CandleCo,Would Poop Here Again Bathroom Decor -  Funny Bathroom Decor - Candle Gift - Funny Gift Idea - Funny Gift - Farmhouse Bathroom Decor,515,-.3641054787903422,15.95,-.1008177435247509,5,4.9817,109,-.3659467384763618,1,0,0,2020,3,-.6726562506221848,4,-.0152833837632114,1631.196225450273
1776CandleCo,You're my person - Gift for her - Candle Gift - Best friend gift - Gift for girlfriend - Co-Worker Gift - Anniversary Gift,522,-.3636621057423168,15.95,-.1008177435247509,5,4.9817,109,-.3659467384763618,1,0,0,2020,6,-.6346190702653013,4,-.0152833837632114,1631.196225450273
17dovercandlecompany,Soy Wax Pillar Candle w/ Lilac Print Label- Ready To Ship-Lilac Scent,316,-.3767099411556371,20,.0824628049366211,5,5,104,-.3676675206959705,0,0,0,2015,8,-.6092609500273789,10.5,1.594484203898468,1631.196225450273
