company,product,sales2,z_sales2,currentprice,z_currentprice,numberofstars2,averagerating2,numberofreviews2,z_numberofreviews2,freeshipping2,foreign,bestseller2,etsysince2,dayssincelastreview,z_dayssincelastreview,daysuntilship,z_daysuntilship,betabestseller2
360Jewels,"Extra large black hoop earrings for men, black stainless steel hoop earrings, men's hoop earrings, simple hoop, everyday hoop earring, 194",34950,.6798014137270031,14,-.135298381112675,5,4.8626,3761,.2096173757201762,0,0,0,2009,263,.7104917067668886,1.5,-.4977520000536101,5410.009065224322
360Jewels,"Extra long post earrings, tiny bar stud earrings, thick earlobes, large earlobes, custom ear post length, fat earlobe earrings, 464 custom",34949,.6797666055689619,25,-.0753245191400957,5,4.8622,3760,.2094110775049159,0,0,0,2009,2,-.8321414020773943,1.5,-.4977520000536101,5410.009065224322
360Jewels,"Extra long post earrings, tiny cube stud earring, fat earlobes, large earlobes, custom ear post length, thick earlobe earring, 465X-LongPost",34949,.6797666055689619,25,-.0753245191400957,5,4.8622,3760,.2094110775049159,0,0,0,2009,53,-.5307073463262126,1.5,-.4977520000536101,5410.009065224322
360Jewels,Jet Black Hoop Earrings for Men - Simple Guys Cyber Corp Gothic Punk Male Rock - Stainless Steel Large - 192,34948,.6797317974109207,12,-.146202719653144,5,4.8622,3760,.2094110775049159,0,0,0,2009,25,-.6962005534052927,1.5,-.4977520000536101,5410.009065224322
360Jewels,"Men's earrings black stud, jet black stud earrings, earrings for men, fake plug, fake gauge, black steel studs, nail it down size L, 420L",34946,.6796621810948383,13,-.1407505503829095,5,4.8622,3760,.2094110775049159,0,0,0,2009,85,-.3415722525215496,1.5,-.4977520000536101,5410.009065224322
360Jewels,"Men's stud earrings, men's earrings studs, black steel square stud earrings, square studs, flat square stud earrings, black studs, 420F",34946,.6796621810948383,11,-.1516548889233785,5,4.8622,3760,.2094110775049159,0,0,0,2009,556,2.442259909415834,1.5,-.4977520000536101,5410.009065224322
360Jewels,Mens Silver Huggie Hoop Earrings - Ear Cartilage Piercing - For Guys Hip Hop Medieval Punk Rock - Stainless Steel Medium HalfHalf no.153B,34949,.6797666055689619,12,-.146202719653144,5,4.8622,3760,.2094110775049159,0,0,0,2009,29,-.6725586666797099,1.5,-.4977520000536101,5410.009065224322
360Jewels,"Mens earrings burly steel disc, mens black steel stud earrings, men earring, men earrings, round stud earrings, 420AA",34949,.6797666055689619,12,-.146202719653144,5,4.8622,3760,.2094110775049159,0,0,0,2009,488,2.040347835080925,1.5,-.4977520000536101,5410.009065224322
360Jewels,"Mens silver hoop earrings, gentleman earrings in sterling silver, simple hoop, casual earrings for guys, seamless hoop, masculine earrings",34949,.6797666055689619,12.5,-.1434766350180268,5,4.8622,3760,.2094110775049159,0,0,0,2009,152,.0544293501319636,1.5,-.4977520000536101,5410.009065224322
360JewelsElite,"16 gauge hexagon cartilage hoop earrings, 16G earrings, extra large cartilage conch hoop earrings, men's cartilage gauged, E250XL 16G",13124,-.0799214436799228,54,.0827883896967044,5,4.7815,1977,-.1584186403042263,0,0,0,2010,0,-.8439623454401858,1.5,-.4977520000536101,5410.009065224322
