company,product,sales2,z_sales2,currentprice,z_currentprice,numberofstars2,averagerating2,numberofreviews2,z_numberofreviews2,freeshipping2,foreign,bestseller2,etsysince2,dayssincelastreview,z_dayssincelastreview,daysuntilship,z_daysuntilship,betabestseller2,lqtbestseller,uqtnonbestseller
spindlecatstudio,"Small Sterling Hoop Earrings - Hook with a Tail Design - Sterling Silver Hoop Earrings 20ga or 18ga, Gifts for Her Under 50",12710,-.0943320211089738,32,-.0371593342484543,5,4.9684,5558,.5803352685429628,0,0,0,2006,2,-.8321414020773943,5,.1303875720626831,5410.009065224322,8388,13471
shopWEARRAW,"Mandala Brass Earrings , Tribal Brass Earrings,  Festival Earrings, Gypsy Earrings, Ethnic Earrings",9980,-.1893582925614116,20.700001,-.0987688428424289,5,4.8655,2059,-.1415021866528804,1,0,0,2015,6,-.8084995153518114,2,-.4080177754655682,5410.009065224322,8388,13471
scbeachbling,Seattle Seahawks Navy and Neon Green Crystal Pro Football 'Hawks Leverback Earrings,10086,-.1856686278090459,21,-.0971331962210336,5,4.9694,2818,.0150781587296989,0,0,0,2009,2,-.8321414020773943,1,-.5874862246416519,5410.009065224322,8388,13471
scbeachbling,LA Kings Earrings Silver and Black Crystal Pro Hockey Women's Dangle Earrings,10086,-.1856686278090459,19,-.1080375347615026,5,4.9694,2818,.0150781587296989,0,0,0,2009,2,-.8321414020773943,1,-.5874862246416519,5410.009065224322,8388,13471
scbeachbling,Golden State Warriors Blue Pearl Gold Crystal SS Ear Wires Pro Basketball Team Earrings,10086,-.1856686278090459,21,-.0971331962210336,5,4.9694,2818,.0150781587296989,0,0,0,2009,195,.3085796324319796,1,-.5874862246416519,5410.009065224322,8388,13471
scbeachbling,Carolina Panthers Earring Blue and Black Crystal Pro Football Women's Hoop Earrings,10086,-.1856686278090459,21,-.0971331962210336,5,4.9694,2818,.0150781587296989,0,0,0,2009,2,-.8321414020773943,1,-.5874862246416519,5410.009065224322,8388,13471
redtruckdesigns,Rose Vine Hoop Earrings Gold Rose Earrings Rose Hoop Earrings Twig Earrings Bridal Jewelry Gift for Her Gift for Mom Garden Wedding,13215,-.0767539012981749,46.5,.0418971201699458,5,4.876,2498,-.050937270153602,0,0,0,2009,391,1.467032081985541,2,-.4080177754655682,5410.009065224322,8388,13471
redtruckdesigns,"Gold Bee Earrings,Bumblebee Earrings,Gold Bee Jewelry,Honeybee Earrings,Bee Earrings, Gold Bee,Brass Bee Earrings,Queen Bee,Bug Jewelry",13221,-.0765450523499278,17.4,-.1167610076737153,5,4.876,2498,-.050937270153602,0,0,0,2009,170,.1608178403970866,2,-.4080177754655682,5410.009065224322,8388,13471
redtruckdesigns,Big GOLD Beetle EARRINGS Nature Study Victorian Cicada  Entomologist Summer Bug,13215,-.0767539012981749,26.299999,-.0682367032484659,5,4.876,2498,-.050937270153602,0,0,0,2009,16,-.7493947985378543,2,-.4080177754655682,5410.009065224322,8388,13471
ranaway,Sparrow Ear Cuff,9967,-.189810798615947,15.99,-.1244485655128109,5,4.9317,1901,-.1740973046640102,0,0,0,2010,158,.0898921802203379,2,-.4080177754655682,5410.009065224322,8388,13471
